wheel,station,sector,NSegments,xx,yy,zz,aa,bb,cc
2,4,3,87868,4.45E-05,0.01,0.00276769,7.72E-07,2.46E-07,1.72E-08
2,4,4,None,4.47E-05,0.01,0.003761141429,1.30E-06,1.95E-06,1.42E-08
2,4,5,124569,4.16E-05,0.01,0.00259814,5.13E-07,1.58E-07,1.72E-08
2,4,6,132460,3.86E-05,0.01,0.00239096,4.78E-07,1.46E-07,1.60E-08
2,4,7,130028,3.96E-05,0.01,0.00243108,4.98E-07,1.51E-07,1.64E-08
2,4,8,128984,3.69E-05,0.01,0.00222979,4.88E-07,1.49E-07,1.48E-08
2,4,9,42614,0.000134074,0.01,0.0254827,7.75E-06,1.49E-05,2.77E-08
2,4,10,None,4.47E-05,0.01,0.003761141429,1.30E-06,1.95E-06,1.42E-08
2,4,11,57276,9.70E-05,0.01,0.00364825,5.80E-06,1.10E-05,1.74E-08
2,4,12,132174,3.57E-05,0.01,0.00207738,4.75E-07,1.51E-07,1.41E-08
2,4,13,None,4.47E-05,0.01,0.003761141429,1.30E-06,1.95E-06,1.42E-08
2,4,14,None,4.47E-05,0.01,0.003761141429,1.30E-06,1.95E-06,1.42E-08
