endcap,station,ring,chamber,NSegments,xx,yy,zz,aa,bb,cc
1,1,4,28,36005,7.11E-07,0.000451063,0.01,2.30E-07,1.81E-07,4.95E-10
1,1,4,29,34775,9.32E-07,0.00113873,0.01,2.30E-07,1.81E-07,6.92E-10
1,1,4,30,37356,6.83E-07,0.000439205,0.01,2.30E-07,1.81E-07,4.97E-10
1,1,4,31,34446,1.14E-06,0.00100313,0.01,2.30E-07,1.81E-07,7.45E-10
1,1,4,32,21764,1.21E-06,0.000720357,0.01,2.30E-07,1.81E-07,6.40E-10
1,1,4,33,None,0,0,0,0,0,0
1,1,4,34,37431,7.06E-07,0.00113766,0.01,2.30E-07,1.81E-07,7.05E-10
1,1,4,35,35311,8.85E-07,0.00055911,0.01,2.30E-07,1.81E-07,6.37E-10
1,1,4,36,35425,8.07E-07,0.000488078,0.01,2.30E-07,1.81E-07,4.99E-10
1,2,1,1,65708,2.26E-06,0.000300396,0.0025,8.12E-08,1.52E-07,8.81E-10
1,2,1,2,67815,2.00E-06,0.000268095,0.0025,8.12E-08,1.52E-07,8.23E-10
1,2,1,3,36146,4.19E-06,0.000468639,0.0025,8.12E-08,1.52E-07,1.70E-09
1,2,1,4,66700,2.01E-06,0.000267632,0.0025,8.12E-08,1.52E-07,8.25E-10
1,2,1,5,66935,2.21E-06,0.000297343,0.0025,8.12E-08,1.52E-07,9.14E-10
1,2,1,6,60926,2.13E-06,0.000279571,0.0025,8.12E-08,1.52E-07,8.98E-10
1,2,1,7,59619,2.39E-06,0.000304321,0.0025,8.12E-08,1.52E-07,9.87E-10
1,2,1,8,61286,2.15E-06,0.000285585,0.0025,8.12E-08,1.52E-07,8.81E-10
1,2,1,9,63767,2.27E-06,0.000302583,0.0025,8.12E-08,1.52E-07,9.26E-10
1,2,1,10,64897,2.00E-06,0.000265572,0.0025,8.12E-08,1.52E-07,8.09E-10
1,2,1,11,66446,2.15E-06,0.000286252,0.0025,8.12E-08,1.52E-07,8.73E-10
1,2,1,12,64794,2.03E-06,0.000270896,0.0025,8.12E-08,1.52E-07,8.27E-10
1,2,1,13,67968,2.10E-06,0.000281248,0.0025,8.12E-08,1.52E-07,8.59E-10
1,2,1,14,68811,1.92E-06,0.000255392,0.0025,8.12E-08,1.52E-07,7.68E-10
1,2,1,15,71253,2.08E-06,0.000281308,0.0025,8.12E-08,1.52E-07,8.48E-10
1,2,1,16,69198,1.94E-06,0.000258948,0.0025,8.12E-08,1.52E-07,8.01E-10
1,2,1,17,70978,2.11E-06,0.000282783,0.0025,8.12E-08,1.52E-07,8.64E-10
1,2,1,18,69485,1.92E-06,0.000257322,0.0025,8.12E-08,1.52E-07,7.93E-10
1,2,2,1,16506,6.73E-05,0.0116597,0.009025,1.52E-07,2.26E-07,7.47E-09
1,2,2,2,11109,9.38E-05,0.0181147,0.009025,1.52E-07,2.26E-07,9.90E-09
1,2,2,3,12299,9.43E-05,0.0179259,0.009025,1.52E-07,2.26E-07,8.99E-09
1,2,2,4,10330,0.00010639,0.0197141,0.009025,1.52E-07,2.26E-07,9.10E-09
1,2,2,5,12601,9.67E-05,0.0221372,0.009025,1.52E-07,2.26E-07,9.15E-09
1,2,2,6,14391,7.59E-05,0.0354711,0.009025,1.52E-07,2.26E-07,7.98E-09
1,2,2,7,17021,5.77E-05,0.0308053,0.009025,1.52E-07,2.26E-07,6.30E-09
1,2,2,8,17089,5.24E-05,0.0110883,0.009025,1.52E-07,2.26E-07,5.52E-09
1,2,2,9,16604,5.84E-05,0.0323756,0.009025,1.52E-07,2.26E-07,6.00E-09
1,2,2,10,18610,5.18E-05,0.0302105,0.009025,1.52E-07,2.26E-07,5.96E-09
1,2,2,11,13606,8.03E-05,0.038596,0.009025,1.52E-07,2.26E-07,8.01E-09
1,2,2,12,13074,8.20E-05,0.0379423,0.009025,1.52E-07,2.26E-07,8.26E-09
1,2,2,13,18186,5.30E-05,0.0109857,0.009025,1.52E-07,2.26E-07,5.63E-09
1,2,2,14,22385,4.24E-05,0.00763016,0.009025,1.52E-07,2.26E-07,4.82E-09
1,2,2,15,19066,5.02E-05,0.0327353,0.009025,1.52E-07,2.26E-07,5.33E-09
